model,case,overrides,corner_radii_mm,slab_clipped,pokes,max_protrusion_mm,volume_mm3,watertight,solids,stl_bounds_mm
led_remote_holder_51x84mm,default,{},"[1, 1, 1, 1]",no,True,0.414214,38132.332749,True,1,"[[-28.350000381469727, 0.0, 0.0], [28.350000381469727, 87.30000305175781, 21.399999618530273]]"
led_remote_holder_51x84mm,remote_w-40.0,"{""remote_w"": 40.0}","[1, 1, 1, 1]",no,True,0.414214,35660.851018,True,1,"[[-22.850000381469727, 0.0, 0.0], [22.850000381469727, 87.30000305175781, 21.399999618530273]]"
led_remote_holder_51x84mm,remote_w-70.0,"{""remote_w"": 70.0}","[1, 1, 1, 1]",no,True,0.414214,47154.131990,True,1,"[[-37.849998474121094, 0.0, 0.0], [37.849998474121094, 87.30000305175781, 21.399999618530273]]"
led_remote_holder_51x84mm,remote_h-70.0,"{""remote_h"": 70.0}","[1, 1, 1, 1]",no,True,0.414214,32114.077534,True,1,"[[-28.350000381469727, 0.0, 0.0], [28.350000381469727, 73.30000305175781, 21.399999618530273]]"
led_remote_holder_51x84mm,remote_h-120.0,"{""remote_h"": 120.0}","[1, 1, 1, 1]",no,True,0.414214,39239.875366,True,1,"[[-28.350000381469727, 0.0, 0.0], [28.350000381469727, 90.0, 21.399999618530273]]"
led_remote_holder_51x84mm,side_clearance-0.2,"{""side_clearance"": 0.2}","[1, 1, 1, 1]",no,True,0.414214,37520.169709,True,1,"[[-28.100000381469727, 0.0, 0.0], [28.100000381469727, 86.80000305175781, 21.399999618530273]]"
led_remote_holder_51x84mm,side_clearance-1.0,"{""side_clearance"": 1.0}","[1, 1, 1, 1]",no,True,0.414214,39494.502543,True,1,"[[-28.899999618530273, 0.0, 0.0], [28.899999618530273, 88.4000015258789, 21.399999618530273]]"
led_remote_holder_51x84mm,wall-1.6,"{""wall"": 1.6}","[1, 1, 1, 1]",no,True,0.414214,34702.869948,True,1,"[[-27.549999237060547, 0.0, 0.0], [27.549999237060547, 86.5, 21.399999618530273]]"
led_remote_holder_51x84mm,wall-4.0,"{""wall"": 4.0}","[1, 1, 1, 1]",no,True,0.414214,45154.442706,True,1,"[[-29.950000762939453, 0.0, 0.0], [29.950000762939453, 88.9000015258789, 21.399999618530273]]"
led_remote_holder_51x84mm,plate_len_max-60.0,"{""plate_len_max"": 60.0}","[1, 1, 1, 1]",no,True,0.414214,26505.768288,True,1,"[[-28.350000381469727, 0.0, 0.0], [28.350000381469727, 60.0, 21.399999618530273]]"
led_remote_holder_51x84mm,plate_len_max-300.0,"{""plate_len_max"": 300.0}","[1, 1, 1, 1]",no,True,0.414214,38132.332749,True,1,"[[-28.350000381469727, 0.0, 0.0], [28.350000381469727, 87.30000305175781, 21.399999618530273]]"
led_remote_holder_51x84mm,plate_t-2.0,"{""plate_t"": 2.0}","[1, 1, 1, 1]",no,True,0.414214,33660.129676,True,1,"[[-28.350000381469727, 0.0, 0.0], [28.350000381469727, 87.30000305175781, 20.399999618530273]]"
led_remote_holder_51x84mm,plate_t-5.0,"{""plate_t"": 5.0}","[1, 1, 1, 1]",no,True,0.414214,46273.539298,True,1,"[[-28.350000381469727, 0.0, 0.0], [28.350000381469727, 87.30000305175781, 23.399999618530273]]"
led_remote_holder_51x84mm,narrow-tall,"{""plate_len_max"": 300.0, ""remote_h"": 120.0, ""remote_w"": 40.0, ""side_clearance"": 0.2, ""wall"": 1.6}","[1, 1, 1, 1]",no,True,0.414214,45046.506182,True,1,"[[-21.799999237060547, 0.0, 0.0], [21.799999237060547, 122.0, 21.399999618530273]]"
led_remote_holder_51x84mm,wide-short,"{""plate_len_max"": 60.0, ""remote_h"": 70.0, ""remote_w"": 70.0, ""side_clearance"": 1.0, ""wall"": 4.0}","[1, 1, 1, 1]",no,True,0.414214,38465.454809,True,1,"[[-40.0, 0.0, 0.0], [40.0, 60.0, 21.399999618530273]]"
led_remote_holder_55x124mm,default,{},"[1, 1, 1, 1]",no,True,0.414214,55040.523952,True,1,"[[-30.350000381469727, 0.0, 0.0], [30.350000381469727, 116.0, 22.099998474121094]]"
led_remote_holder_55x124mm,remote_w-40.0,"{""remote_w"": 40.0}","[1, 1, 1, 1]",no,True,0.414214,47725.250655,True,1,"[[-22.850000381469727, 0.0, 0.0], [22.850000381469727, 116.0, 22.099998474121094]]"
led_remote_holder_55x124mm,remote_w-70.0,"{""remote_w"": 70.0}","[1, 1, 1, 1]",no,True,0.414214,62355.794366,True,1,"[[-37.849998474121094, 0.0, 0.0], [37.849998474121094, 116.0, 22.099998474121094]]"
led_remote_holder_55x124mm,remote_h-70.0,"{""remote_h"": 70.0}","[1, 1, 1, 1]",no,True,0.414214,35124.545433,True,1,"[[-30.350000381469727, 0.0, 0.0], [30.350000381469727, 73.30000305175781, 22.099998474121094]]"
led_remote_holder_55x124mm,remote_h-160.0,"{""remote_h"": 160.0}","[1, 1, 1, 1]",no,True,0.414214,55040.523952,True,1,"[[-30.350000381469727, 0.0, 0.0], [30.350000381469727, 116.0, 22.099998474121094]]"
led_remote_holder_55x124mm,side_clearance-0.2,"{""side_clearance"": 0.2}","[1, 1, 1, 1]",no,True,0.414214,54499.704004,True,1,"[[-30.100000381469727, 0.0, 0.0], [30.100000381469727, 116.0, 22.099998474121094]]"
led_remote_holder_55x124mm,side_clearance-1.0,"{""side_clearance"": 1.0}","[1, 1, 1, 1]",no,True,0.414214,56230.331549,True,1,"[[-30.899999618530273, 0.0, 0.0], [30.899999618530273, 116.0, 22.099998474121094]]"
led_remote_holder_55x124mm,wall-1.6,"{""wall"": 1.6}","[1, 1, 1, 1]",no,True,0.414214,50757.581095,True,1,"[[-29.549999237060547, 0.0, 0.0], [29.549999237060547, 116.0, 22.099998474121094]]"
led_remote_holder_55x124mm,wall-4.0,"{""wall"": 4.0}","[1, 1, 1, 1]",no,True,0.414214,63606.416354,True,1,"[[-31.950000762939453, 0.0, 0.0], [31.950000762939453, 116.0, 22.099998474121094]]"
led_remote_holder_55x124mm,plate_len_max-60.0,"{""plate_len_max"": 60.0}","[1, 1, 1, 1]",no,True,0.414214,28987.428275,True,1,"[[-30.350000381469727, 0.0, 0.0], [30.350000381469727, 60.0, 22.099998474121094]]"
